--- Initial condition ---
5.61108e-09
1.59411e-08
3.88602e-08
8.46218e-08
1.69232e-07
3.17131e-07
5.65295e-07
9.69471e-07
1.61343e-06
2.62242e-06
4.18246e-06
6.56734e-06
1.01761e-05
1.55845e-05
2.36139e-05
3.54238e-05
5.26329e-05
7.74762e-05
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
--- time: 1.5 ---
1.76454e-11
1.70256e-10
8.80173e-10
3.24563e-09
9.59337e-09
2.42268e-08
5.44243e-08
1.11828e-07
2.1448e-07
3.89888e-07
6.79679e-07
1.14655e-06
1.88449e-06
3.03347e-06
4.80041e-06
7.48827e-06
1.15364e-05
1.75751e-05
2.64995e-05
3.95662e-05
5.85212e-05
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
--- time: 1.6 ---
8.82272e-12
8.95394e-11
4.84856e-10
1.86524e-09
5.72931e-09
1.4978e-08
3.47012e-08
7.32647e-08
1.43872e-07
2.6688e-07
4.7328e-07
8.09916e-07
1.3472e-06
2.19034e-06
3.49537e-06
5.49182e-06
8.5141e-06
1.30446e-05
1.97721e-05
2.96691e-05
4.40952e-05
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
--- time: 1.7 ---
4.41136e-12
4.69754e-11
2.65916e-10
1.06558e-09
3.39744e-09
9.18774e-09
2.19445e-08
4.76046e-08
9.57384e-08
1.81309e-07
3.27294e-07
5.68605e-07
9.57903e-07
1.57412e-06
2.53475e-06
4.01328e-06
6.26369e-06
9.65416e-06
1.47131e-05
2.21911e-05
3.31431e-05
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
--- time: 1.8 ---
2.20568e-12
2.45905e-11
1.45253e-10
6.05416e-10
2.00143e-09
5.59458e-09
1.37695e-08
3.06871e-08
6.32127e-08
1.22261e-07
2.24778e-07
3.96691e-07
6.77297e-07
1.12571e-06
1.83023e-06
2.92176e-06
4.59273e-06
7.12344e-06
1.09183e-05
1.65547e-05
2.48489e-05
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
--- time: 1.9 ---
1.10284e-12
1.28467e-11
7.90499e-11
3.42233e-10
1.17183e-09
3.38321e-09
8.57636e-09
1.96317e-08
4.14222e-08
8.18416e-08
1.5331e-07
2.75001e-07
4.76149e-07
8.00929e-07
1.31558e-06
2.11867e-06
3.3557e-06
5.23957e-06
8.07892e-06
1.23168e-05
1.85829e-05
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
--- laxwendroff ---
--- time: 0 ---
1.52334e-07
1.09805e-06
2.11721e-06
3.56019e-06
5.77704e-06
9.22791e-06
1.45741e-05
2.27815e-05
3.52538e-05
5.40104e-05
8.19224e-05
0.000123022
0.000182904
0.000269228
0.000392351
0.000566095
0.000808655
0.00114366
0.00160138
0.00221999
0.00304699
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
--- time: 0.1 ---
-2.9752e-07
4.47319e-07
1.31063e-06
2.4395e-06
4.0941e-06
6.63446e-06
1.05708e-05
1.66435e-05
2.59304e-05
3.99914e-05
6.10607e-05
9.23016e-05
0.000138138
0.000204678
0.000300256
0.000436085
0.000627065
0.000892724
0.00125831
0.00175598
0.00294373
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
--- time: 0.2 ---
-3.90885e-07
2.50784e-08
6.87441e-07
1.57565e-06
2.83214e-06
4.71654e-06
7.61639e-06
1.20975e-05
1.89854e-05
2.94805e-05
4.5313e-05
6.89514e-05
0.000103875
0.00015493
0.00022878
0.000334473
0.000484136
0.000693806
0.000984409
0.00131817
0.00270212
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
--- time: 0.3 ---
-3.02568e-07
-1.80584e-07
2.50905e-07
9.2181e-07
1.88022e-06
3.29044e-06
5.43403e-06
8.73768e-06
1.38306e-05
2.16327e-05
3.34781e-05
5.12834e-05
7.77714e-05
0.000116764
0.000173562
0.000255424
0.00037216
0.000536864
0.000774859
0.000941438
0.00237963
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
